epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2623,1.71519,2.82513,1.24675,0.50325,0.41721,0.40737,0.21029,1.57051,1.72564,1.11951,0.000332332,0.000332332,0.000332332
2,50.5233,1.54155,1.85404,1.15772,0.57531,0.4923,0.58223,0.33416,1.6166,1.46197,1.18098,0.000652485,0.000652485,0.000652485
3,74.8952,1.48574,1.62327,1.14228,0.53358,0.63592,0.61157,0.37896,1.47059,1.26228,1.14326,0.000959439,0.000959439,0.000959439
4,100.656,1.4633,1.4762,1.14594,0.49118,0.74449,0.64599,0.39435,1.58196,1.27134,1.14524,0.0009406,0.0009406,0.0009406
5,126.399,1.43197,1.33997,1.11443,0.64955,0.56641,0.64321,0.42047,1.3652,1.11658,1.08192,0.0009208,0.0009208,0.0009208
6,152.242,1.41998,1.27944,1.11083,0.59889,0.69238,0.72829,0.44828,1.47958,1.09986,1.14276,0.000901,0.000901,0.000901
7,177.902,1.36676,1.20485,1.08975,0.64213,0.6837,0.76485,0.48873,1.40047,1.02056,1.08846,0.0008812,0.0008812,0.0008812
8,202.935,1.35527,1.15376,1.08519,0.58525,0.63799,0.69015,0.42729,1.42095,1.04862,1.08992,0.0008614,0.0008614,0.0008614
9,226.577,1.33675,1.12449,1.08819,0.70638,0.66319,0.74644,0.51243,1.37639,1.00049,1.09098,0.0008416,0.0008416,0.0008416
10,250.198,1.34022,1.0872,1.07621,0.62135,0.72688,0.73798,0.48288,1.42932,1.02665,1.0844,0.0008218,0.0008218,0.0008218
11,273.808,1.31201,1.04689,1.06456,0.58469,0.76395,0.74825,0.51053,1.34003,0.98918,1.08647,0.000802,0.000802,0.000802
12,297.488,1.30895,1.03677,1.0683,0.65034,0.75243,0.79722,0.5211,1.39433,0.96303,1.08098,0.0007822,0.0007822,0.0007822
13,321.353,1.30863,1.01004,1.06154,0.63142,0.71923,0.79432,0.51667,1.40417,0.95405,1.07812,0.0007624,0.0007624,0.0007624
14,345.071,1.27526,0.97652,1.06272,0.73171,0.69442,0.75798,0.48911,1.29837,0.90263,1.05671,0.0007426,0.0007426,0.0007426
15,368.974,1.27437,0.97659,1.052,0.62713,0.71746,0.75239,0.47678,1.42414,0.94715,1.09391,0.0007228,0.0007228,0.0007228
16,392.785,1.27221,0.96957,1.05055,0.67861,0.76091,0.7528,0.49869,1.32734,0.90258,1.06287,0.000703,0.000703,0.000703
17,416.523,1.25751,0.94783,1.04625,0.66274,0.74009,0.75488,0.48068,1.33437,0.88289,1.06125,0.0006832,0.0006832,0.0006832
18,440.094,1.25213,0.92491,1.04127,0.61679,0.76836,0.78142,0.49799,1.33772,0.88011,1.06649,0.0006634,0.0006634,0.0006634
19,463.786,1.2313,0.908,1.0385,0.68122,0.78154,0.80718,0.51551,1.41107,0.88707,1.063,0.0006436,0.0006436,0.0006436
20,487.443,1.23207,0.90232,1.03037,0.71977,0.7349,0.81881,0.55726,1.30564,0.85051,1.06281,0.0006238,0.0006238,0.0006238
21,511.406,1.22122,0.87225,1.02668,0.70308,0.72847,0.81718,0.54965,1.3576,0.86669,1.0724,0.000604,0.000604,0.000604
22,535.274,1.2143,0.8677,1.028,0.68393,0.76013,0.81829,0.56145,1.28182,0.84083,1.04926,0.0005842,0.0005842,0.0005842
