epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8832,1.17784,0.87278,1.01656,0.68191,0.75024,0.79171,0.53634,1.3445,0.97611,1.15379,0.0003309,0.0003309,0.0003309
2,21.0323,1.21622,0.94439,1.02923,0.69573,0.67277,0.73637,0.48285,1.48603,1.25088,1.20199,0.000631354,0.000631354,0.000631354
3,31.3377,1.26752,1.00905,1.06916,0.65006,0.72427,0.78128,0.52914,1.36396,1.0738,1.18205,0.000898808,0.000898808,0.000898808
4,41.4883,1.28766,1.03423,1.06977,0.6587,0.72608,0.76886,0.51495,1.38385,1.06045,1.15933,0.0008515,0.0008515,0.0008515
5,51.7484,1.29523,1.05977,1.06735,0.67927,0.70956,0.7783,0.50743,1.40667,1.07183,1.15514,0.000802,0.000802,0.000802
6,61.8626,1.26321,1.02018,1.05807,0.68497,0.66114,0.78669,0.52202,1.42174,1.10683,1.17365,0.0007525,0.0007525,0.0007525
7,71.9828,1.25374,0.98795,1.0573,0.69794,0.71847,0.79479,0.50426,1.47669,1.04904,1.23575,0.000703,0.000703,0.000703
8,82.1095,1.27038,0.97033,1.06749,0.69397,0.71669,0.79141,0.52205,1.37258,1.04004,1.15732,0.0006535,0.0006535,0.0006535
9,92.2744,1.2319,0.96732,1.04721,0.62504,0.77958,0.79279,0.52866,1.37772,0.94049,1.17388,0.000604,0.000604,0.000604
10,102.353,1.21727,0.92181,1.04387,0.65663,0.74608,0.77887,0.50226,1.42985,1.01028,1.17762,0.0005545,0.0005545,0.0005545
11,112.534,1.22272,0.87583,1.03407,0.74256,0.68055,0.79275,0.52009,1.41702,0.9521,1.19003,0.000505,0.000505,0.000505
12,122.533,1.19554,0.8684,1.03655,0.69705,0.75025,0.79928,0.52224,1.41171,0.91096,1.186,0.0004555,0.0004555,0.0004555
13,132.508,1.20942,0.83909,1.04791,0.71507,0.71939,0.7946,0.51806,1.42173,0.94544,1.16522,0.000406,0.000406,0.000406
14,142.758,1.1767,0.81632,1.03244,0.69752,0.72377,0.79861,0.52908,1.41957,0.95734,1.17201,0.0003565,0.0003565,0.0003565
15,152.8,1.1843,0.8455,1.01921,0.71347,0.75887,0.82225,0.55161,1.37972,0.89903,1.16647,0.000307,0.000307,0.000307
16,162.795,1.15656,0.80065,1.02021,0.73267,0.74503,0.81522,0.55257,1.35455,0.87875,1.13664,0.0002575,0.0002575,0.0002575
17,172.817,1.14111,0.77903,1.02049,0.70451,0.79095,0.81288,0.55846,1.35853,0.89291,1.13554,0.000208,0.000208,0.000208
18,182.842,1.1372,0.76554,1.00612,0.73451,0.76543,0.82301,0.55427,1.34175,0.83537,1.12835,0.0001585,0.0001585,0.0001585
19,192.866,1.12402,0.7555,1.00224,0.69925,0.77685,0.82084,0.55545,1.32296,0.81831,1.11675,0.000109,0.000109,0.000109
20,202.884,1.10144,0.7309,0.99354,0.7252,0.78581,0.83538,0.56946,1.28874,0.80031,1.10864,5.95e-05,5.95e-05,5.95e-05
