epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1022,1.77056,2.90458,1.30418,0.34219,0.39464,0.35014,0.18853,1.82123,1.94251,1.32957,0.000302185,0.000302185,0.000302185
2,55.8289,1.62645,2.03379,1.22831,0.50094,0.3956,0.40834,0.22771,1.67978,1.66061,1.27484,0.000593203,0.000593203,0.000593203
3,82.3674,1.57662,1.81223,1.20239,0.52753,0.47775,0.43044,0.23547,1.80507,1.60781,1.35398,0.000872221,0.000872221,0.000872221
4,108.553,1.5496,1.66018,1.19479,0.4743,0.51043,0.48314,0.26378,1.78562,1.49936,1.30366,0.000855005,0.000855005,0.000855005
5,134.713,1.51028,1.5475,1.17398,0.50018,0.58346,0.51946,0.30763,1.62215,1.44828,1.25964,0.000837007,0.000837007,0.000837007
6,160.956,1.48887,1.49617,1.16525,0.53997,0.55297,0.52986,0.30635,1.65523,1.37479,1.27152,0.000819009,0.000819009,0.000819009
7,187.203,1.47543,1.42131,1.14978,0.57364,0.54696,0.56806,0.34424,1.65913,1.30617,1.27754,0.000801011,0.000801011,0.000801011
8,213.455,1.45066,1.35547,1.13788,0.58203,0.51603,0.56246,0.3295,1.66584,1.30715,1.25901,0.000783013,0.000783013,0.000783013
9,239.826,1.43021,1.32445,1.1429,0.61247,0.52697,0.58504,0.34959,1.59388,1.35875,1.26963,0.000765014,0.000765014,0.000765014
10,266.119,1.42669,1.30217,1.12943,0.59054,0.55988,0.59842,0.35886,1.61482,1.24677,1.25167,0.000747016,0.000747016,0.000747016
11,292.312,1.40777,1.27626,1.12323,0.60361,0.59406,0.60802,0.36307,1.61615,1.269,1.2664,0.000729018,0.000729018,0.000729018
12,318.528,1.40019,1.24605,1.12121,0.6175,0.59461,0.62514,0.38354,1.52773,1.24382,1.21914,0.00071102,0.00071102,0.00071102
13,344.796,1.38866,1.22776,1.11727,0.61841,0.58864,0.62079,0.37582,1.56028,1.18765,1.22727,0.000693022,0.000693022,0.000693022
14,371.058,1.37823,1.20324,1.1161,0.63987,0.58172,0.61907,0.37629,1.56531,1.19518,1.24599,0.000675023,0.000675023,0.000675023
15,397.452,1.3733,1.17792,1.10731,0.60613,0.57803,0.61242,0.37404,1.52334,1.17086,1.2231,0.000657025,0.000657025,0.000657025
16,423.753,1.36086,1.19186,1.10344,0.60978,0.6053,0.63572,0.38072,1.55481,1.21839,1.22487,0.000639027,0.000639027,0.000639027
17,450.002,1.34628,1.15633,1.09498,0.59604,0.59191,0.61783,0.38361,1.55087,1.17465,1.21732,0.000621029,0.000621029,0.000621029
18,476.264,1.32927,1.12364,1.08408,0.61784,0.60404,0.63799,0.389,1.57166,1.1737,1.24211,0.000603031,0.000603031,0.000603031
19,502.571,1.33757,1.12539,1.08531,0.65747,0.62123,0.64195,0.39781,1.51758,1.1153,1.21176,0.000585032,0.000585032,0.000585032
20,528.882,1.33408,1.12012,1.08664,0.64303,0.60801,0.64197,0.39109,1.51958,1.13502,1.21992,0.000567034,0.000567034,0.000567034
21,555.14,1.31294,1.10042,1.07573,0.63642,0.63642,0.63108,0.38336,1.56875,1.15874,1.2508,0.000549036,0.000549036,0.000549036
22,581.586,1.30264,1.10168,1.08038,0.62229,0.61249,0.62931,0.38568,1.56778,1.16187,1.2296,0.000531038,0.000531038,0.000531038
23,607.904,1.28993,1.06396,1.06542,0.59513,0.60244,0.61834,0.37861,1.55022,1.16651,1.23301,0.00051304,0.00051304,0.00051304
24,634.026,1.28692,1.06128,1.0705,0.63257,0.6256,0.6357,0.39497,1.53734,1.16425,1.23397,0.000495041,0.000495041,0.000495041
25,659.905,1.26885,1.03606,1.06608,0.67007,0.61087,0.64424,0.39741,1.53068,1.12079,1.21855,0.000477043,0.000477043,0.000477043
26,685.811,1.29168,1.04139,1.06212,0.65988,0.60948,0.64287,0.39114,1.51362,1.11326,1.21643,0.000459045,0.000459045,0.000459045
