epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7579,1.57779,2.03231,1.21454,0.66551,0.47721,0.61197,0.34247,1.53171,1.32891,1.17828,0.000332332,0.000332332,0.000332332
2,84.2424,1.47059,1.37208,1.16619,0.60109,0.58559,0.65219,0.38698,1.52755,1.22706,1.18018,0.000652485,0.000652485,0.000652485
3,125.416,1.4521,1.27705,1.16608,0.62619,0.59612,0.68231,0.4507,1.43803,1.14686,1.15652,0.000959439,0.000959439,0.000959439
4,166.481,1.42753,1.23933,1.16396,0.55859,0.71226,0.69327,0.418,1.55056,1.11045,1.1879,0.0009406,0.0009406,0.0009406
5,207.555,1.39619,1.15416,1.13235,0.48607,0.83326,0.73035,0.4767,1.37034,1.05401,1.13095,0.0009208,0.0009208,0.0009208
6,248.593,1.38519,1.12405,1.13238,0.60398,0.71493,0.73676,0.46336,1.45839,1.02236,1.15773,0.000901,0.000901,0.000901
7,289.876,1.32197,1.0686,1.09961,0.58599,0.74167,0.75516,0.49958,1.37988,0.99291,1.12303,0.0008812,0.0008812,0.0008812
8,330.908,1.3206,1.04492,1.10303,0.63984,0.75348,0.71069,0.44828,1.3613,0.96579,1.11599,0.0008614,0.0008614,0.0008614
9,371.971,1.30345,1.01743,1.09779,0.63262,0.74706,0.73589,0.48503,1.34258,0.95235,1.11021,0.0008416,0.0008416,0.0008416
10,413.044,1.29301,0.98977,1.0865,0.6256,0.76464,0.7837,0.51491,1.44339,0.96189,1.12308,0.0008218,0.0008218,0.0008218
11,454.197,1.27601,0.94936,1.07508,0.7837,0.67816,0.80943,0.5551,1.31677,0.87978,1.1036,0.000802,0.000802,0.000802
12,495.357,1.26648,0.93815,1.07691,0.65603,0.77776,0.79972,0.5357,1.39812,0.91134,1.09901,0.0007822,0.0007822,0.0007822
13,536.481,1.27282,0.92282,1.06793,0.70858,0.72822,0.79103,0.53128,1.32197,0.87206,1.08412,0.0007624,0.0007624,0.0007624
