epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2029,1.58632,2.05726,1.24228,0.47459,0.36819,0.34988,0.1977,1.70768,1.94081,1.26577,0.00030209,0.00030209,0.00030209
2,84.7213,1.47717,1.44032,1.17667,0.47517,0.36535,0.44445,0.24385,1.66009,1.8917,1.27554,0.000593109,0.000593109,0.000593109
3,126.055,1.4687,1.37053,1.18342,0.5481,0.39871,0.4386,0.23969,1.71622,1.59813,1.29412,0.00087213,0.00087213,0.00087213
4,167.215,1.44358,1.29613,1.16822,0.69095,0.37397,0.50594,0.28348,1.61624,1.59892,1.25201,0.000855005,0.000855005,0.000855005
5,208.429,1.41932,1.24683,1.13846,0.63189,0.39551,0.48348,0.28064,1.67481,1.54615,1.25559,0.000837007,0.000837007,0.000837007
6,249.779,1.40421,1.18633,1.13068,0.60997,0.41202,0.47857,0.27255,1.68298,1.53819,1.28492,0.000819009,0.000819009,0.000819009
7,291.572,1.37751,1.15723,1.12061,0.5192,0.55677,0.5215,0.2688,1.68944,1.42866,1.28198,0.000801011,0.000801011,0.000801011
8,333.253,1.34973,1.14155,1.11883,0.57648,0.48276,0.51907,0.28353,1.69853,1.44913,1.26012,0.000783013,0.000783013,0.000783013
9,375.091,1.33933,1.09592,1.10804,0.53769,0.58095,0.5627,0.31791,1.6534,1.35525,1.25709,0.000765014,0.000765014,0.000765014
10,417.05,1.31904,1.06634,1.09696,0.6736,0.43042,0.56256,0.30916,1.70957,1.42388,1.27585,0.000747016,0.000747016,0.000747016
11,458.962,1.31989,1.06301,1.09391,0.69268,0.43301,0.56877,0.33616,1.60333,1.42056,1.24155,0.000729018,0.000729018,0.000729018
12,500.626,1.27604,1.01733,1.07879,0.68625,0.38553,0.53295,0.3101,1.63875,1.50432,1.275,0.00071102,0.00071102,0.00071102
13,542.058,1.27605,0.99736,1.07311,0.61624,0.50309,0.59464,0.34575,1.61207,1.40282,1.23806,0.000693022,0.000693022,0.000693022
14,583.921,1.2475,0.9818,1.06961,0.55555,0.54616,0.57561,0.31979,1.65809,1.37608,1.27108,0.000675023,0.000675023,0.000675023
15,625.795,1.25552,0.96738,1.06777,0.75563,0.42351,0.57375,0.34014,1.58404,1.37111,1.23018,0.000657025,0.000657025,0.000657025
16,667.747,1.23732,0.95752,1.05774,0.57823,0.56033,0.59637,0.33519,1.6375,1.33343,1.26824,0.000639027,0.000639027,0.000639027
17,709.559,1.23364,0.92648,1.05521,0.52519,0.52646,0.58555,0.32395,1.68634,1.33147,1.27086,0.000621029,0.000621029,0.000621029
18,751.228,1.20756,0.92199,1.04816,0.65887,0.44726,0.60558,0.34429,1.60585,1.38906,1.22405,0.000603031,0.000603031,0.000603031
19,792.966,1.22374,0.91085,1.04534,0.56239,0.54246,0.58357,0.33247,1.64417,1.31031,1.2731,0.000585032,0.000585032,0.000585032
20,834.96,1.1966,0.90073,1.03643,0.65902,0.5476,0.60702,0.35787,1.58441,1.35206,1.23042,0.000567034,0.000567034,0.000567034
21,877.091,1.18009,0.86825,1.03066,0.688,0.44712,0.54353,0.30547,1.66886,1.37277,1.27615,0.000549036,0.000549036,0.000549036
22,919.009,1.17686,0.86536,1.03094,0.61633,0.54462,0.59227,0.33549,1.63641,1.32926,1.25906,0.000531038,0.000531038,0.000531038
23,960.462,1.17205,0.85971,1.02931,0.61805,0.56635,0.59602,0.35395,1.60397,1.34593,1.23799,0.00051304,0.00051304,0.00051304
24,1001.83,1.15268,0.83956,1.02679,0.52595,0.53352,0.58682,0.33286,1.66913,1.34922,1.27548,0.000495041,0.000495041,0.000495041
25,1043.32,1.14051,0.83386,1.01612,0.68951,0.54006,0.59076,0.33191,1.7367,1.40276,1.29507,0.000477043,0.000477043,0.000477043
26,1084.54,1.14027,0.81375,1.01204,0.58055,0.51419,0.56686,0.32451,1.70375,1.37162,1.2945,0.000459045,0.000459045,0.000459045
27,1125.64,1.1275,0.80582,1.01713,0.55887,0.5383,0.60832,0.35523,1.61451,1.29523,1.24887,0.000441047,0.000441047,0.000441047
28,1166.71,1.11848,0.80658,1.00436,0.59631,0.53071,0.60834,0.35298,1.63235,1.32028,1.25458,0.000423049,0.000423049,0.000423049
29,1207.9,1.12499,0.80221,1.00675,0.54333,0.54811,0.6018,0.34943,1.66336,1.28904,1.2624,0.00040505,0.00040505,0.00040505
30,1249.47,1.09912,0.7775,1.00188,0.56745,0.58049,0.618,0.36873,1.59096,1.27938,1.23133,0.000387052,0.000387052,0.000387052
31,1290.99,1.1059,0.77968,0.99873,0.49535,0.5272,0.59475,0.34096,1.67574,1.31059,1.29215,0.000369054,0.000369054,0.000369054
32,1332.36,1.08407,0.75926,0.99942,0.53162,0.5536,0.60468,0.35478,1.59513,1.3124,1.25602,0.000351056,0.000351056,0.000351056
33,1373.79,1.0771,0.75265,0.99096,0.53046,0.54443,0.59895,0.35592,1.61018,1.26683,1.27054,0.000333058,0.000333058,0.000333058
34,1415.15,1.07648,0.75015,0.98914,0.57383,0.60233,0.61421,0.35229,1.63398,1.27129,1.26496,0.000315059,0.000315059,0.000315059
35,1456.63,1.05785,0.74084,0.98974,0.58878,0.63935,0.62673,0.36517,1.62708,1.24019,1.28012,0.000297061,0.000297061,0.000297061
36,1498.07,1.05245,0.72041,0.98261,0.59662,0.58078,0.61929,0.3653,1.62947,1.30563,1.28361,0.000279063,0.000279063,0.000279063
37,1539.63,1.04652,0.72048,0.98028,0.60475,0.59843,0.62711,0.36268,1.65879,1.26456,1.27927,0.000261065,0.000261065,0.000261065
38,1581.18,1.02272,0.70107,0.9712,0.58362,0.5503,0.61061,0.35553,1.65628,1.3245,1.27381,0.000243067,0.000243067,0.000243067
39,1622.65,1.01486,0.69532,0.96713,0.61447,0.5595,0.61723,0.35805,1.64083,1.29797,1.28235,0.000225068,0.000225068,0.000225068
40,1664.01,1.00757,0.68626,0.96544,0.57413,0.56341,0.62896,0.3683,1.64832,1.29678,1.28737,0.00020707,0.00020707,0.00020707
41,1705.5,0.99181,0.6441,0.95366,0.57854,0.56099,0.61577,0.36287,1.62065,1.30698,1.2536,0.000189072,0.000189072,0.000189072
42,1746.76,0.96731,0.62698,0.94639,0.57992,0.56465,0.60968,0.35424,1.63156,1.30636,1.28303,0.000171074,0.000171074,0.000171074
43,1787.87,0.96244,0.62066,0.94581,0.58719,0.59178,0.62576,0.37387,1.61002,1.29827,1.28342,0.000153076,0.000153076,0.000153076
44,1828.82,0.94917,0.61153,0.94128,0.61505,0.59326,0.61206,0.35505,1.66346,1.30438,1.30279,0.000135077,0.000135077,0.000135077
45,1869.84,0.94764,0.59848,0.93638,0.5954,0.57109,0.60518,0.35194,1.64766,1.30763,1.29512,0.000117079,0.000117079,0.000117079
46,1910.96,0.93153,0.59073,0.93381,0.6075,0.60228,0.6232,0.36459,1.64324,1.29201,1.28626,9.9081e-05,9.9081e-05,9.9081e-05
47,1952.08,0.92099,0.5821,0.92727,0.59696,0.56128,0.6071,0.35853,1.65163,1.30659,1.29057,8.10828e-05,8.10828e-05,8.10828e-05
48,1993.29,0.91697,0.57696,0.92565,0.61581,0.57406,0.61977,0.36483,1.64153,1.30826,1.28294,6.30846e-05,6.30846e-05,6.30846e-05
49,2034.65,0.89547,0.56488,0.92353,0.59876,0.58171,0.61224,0.36329,1.64036,1.31118,1.28296,4.50864e-05,4.50864e-05,4.50864e-05
50,2075.85,0.89756,0.5639,0.92058,0.5989,0.57796,0.62197,0.36948,1.6291,1.28427,1.28231,2.70882e-05,2.70882e-05,2.70882e-05
