epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.922,1.62976,2.09445,1.25415,0.48714,0.44524,0.44995,0.24682,1.80511,1.6089,1.30576,0.00030209,0.00030209,0.00030209
2,84.4866,1.51902,1.51973,1.18845,0.4279,0.56426,0.469,0.26638,1.71475,1.57024,1.30348,0.000593109,0.000593109,0.000593109
3,125.708,1.50962,1.4347,1.19288,0.40682,0.48427,0.44536,0.25008,1.67065,1.51746,1.24427,0.00087213,0.00087213,0.00087213
4,166.838,1.48329,1.39076,1.18145,0.37238,0.5744,0.50169,0.28389,1.62581,1.44249,1.24132,0.000855005,0.000855005,0.000855005
5,207.906,1.4556,1.30918,1.14903,0.55179,0.55703,0.57778,0.34017,1.66769,1.33329,1.24231,0.000837007,0.000837007,0.000837007
6,249.04,1.44113,1.25602,1.14033,0.62339,0.48868,0.56156,0.32709,1.61954,1.36964,1.22596,0.000819009,0.000819009,0.000819009
7,290.153,1.40558,1.22425,1.12975,0.51491,0.58341,0.59308,0.34602,1.64588,1.32326,1.23327,0.000801011,0.000801011,0.000801011
8,331.211,1.38873,1.21746,1.13376,0.51546,0.60032,0.59724,0.34582,1.68854,1.30731,1.25749,0.000783013,0.000783013,0.000783013
9,372.311,1.37577,1.17396,1.12159,0.62077,0.60454,0.63686,0.37934,1.59877,1.2329,1.2368,0.000765014,0.000765014,0.000765014
10,413.311,1.35986,1.14433,1.11115,0.58963,0.58848,0.62341,0.36401,1.63869,1.2674,1.24365,0.000747016,0.000747016,0.000747016
11,454.5,1.34752,1.12821,1.10473,0.53367,0.65111,0.62241,0.36247,1.57236,1.28616,1.21817,0.000729018,0.000729018,0.000729018
12,495.698,1.32516,1.09103,1.09404,0.56793,0.61288,0.61455,0.36868,1.5851,1.19994,1.21949,0.00071102,0.00071102,0.00071102
13,537.005,1.31936,1.07933,1.09132,0.56405,0.59816,0.60706,0.35424,1.60306,1.22859,1.24722,0.000693022,0.000693022,0.000693022
14,577.958,1.29152,1.06424,1.0796,0.64514,0.57377,0.61525,0.36649,1.59087,1.21886,1.22928,0.000675023,0.000675023,0.000675023
15,618.858,1.30009,1.05336,1.08186,0.62165,0.59105,0.6279,0.36599,1.59701,1.23245,1.23872,0.000657025,0.000657025,0.000657025
16,659.676,1.28222,1.02852,1.07126,0.55978,0.61486,0.63462,0.37818,1.57915,1.2051,1.21923,0.000639027,0.000639027,0.000639027
17,700.545,1.27795,1.0153,1.07004,0.61407,0.64902,0.65441,0.37887,1.60788,1.16389,1.22642,0.000621029,0.000621029,0.000621029
18,741.58,1.26154,1.00981,1.06733,0.58042,0.62639,0.64606,0.37417,1.56516,1.18174,1.20918,0.000603031,0.000603031,0.000603031
19,782.384,1.2662,0.99947,1.06297,0.64585,0.62683,0.64744,0.38869,1.58801,1.14501,1.23702,0.000585032,0.000585032,0.000585032
20,823.287,1.24969,0.98548,1.05271,0.67121,0.62144,0.64953,0.38632,1.61422,1.17125,1.22953,0.000567034,0.000567034,0.000567034
21,864.201,1.23805,0.95913,1.04923,0.72314,0.52673,0.64243,0.38128,1.61805,1.23357,1.22559,0.000549036,0.000549036,0.000549036
22,905.085,1.23219,0.96881,1.04884,0.61722,0.616,0.6322,0.38253,1.5721,1.16334,1.21836,0.000531038,0.000531038,0.000531038
23,945.946,1.22432,0.94303,1.04851,0.62626,0.62749,0.63439,0.38324,1.59004,1.17533,1.23578,0.00051304,0.00051304,0.00051304
24,986.874,1.20359,0.92567,1.04504,0.60796,0.64674,0.64454,0.38521,1.5945,1.1666,1.22407,0.000495041,0.000495041,0.000495041
25,1027.86,1.19214,0.92033,1.03222,0.60705,0.65596,0.67317,0.39172,1.64452,1.17989,1.23526,0.000477043,0.000477043,0.000477043
26,1068.87,1.18956,0.90337,1.03027,0.59426,0.67429,0.66686,0.39835,1.58515,1.1681,1.22433,0.000459045,0.000459045,0.000459045
27,1109.77,1.17638,0.89064,1.03181,0.64049,0.65097,0.67999,0.39926,1.60434,1.11156,1.23687,0.000441047,0.000441047,0.000441047
28,1150.72,1.16246,0.88295,1.02111,0.62681,0.65519,0.68448,0.40949,1.60306,1.12564,1.23479,0.000423049,0.000423049,0.000423049
29,1191.63,1.16762,0.88602,1.01976,0.64168,0.63181,0.66685,0.39156,1.60525,1.15014,1.23801,0.00040505,0.00040505,0.00040505
30,1232.64,1.15481,0.8616,1.01913,0.58626,0.66325,0.65772,0.39199,1.57166,1.15924,1.20864,0.000387052,0.000387052,0.000387052
31,1273.74,1.14621,0.85965,1.01242,0.66733,0.64246,0.67785,0.40892,1.59098,1.11891,1.22272,0.000369054,0.000369054,0.000369054
32,1314.67,1.13293,0.84575,1.01233,0.67845,0.62797,0.67302,0.41144,1.57941,1.12901,1.23665,0.000351056,0.000351056,0.000351056
33,1355.6,1.12297,0.83201,1.00598,0.6418,0.64012,0.67968,0.41515,1.54885,1.10417,1.21565,0.000333058,0.000333058,0.000333058
34,1396.5,1.13237,0.8441,1.01018,0.64138,0.67157,0.67565,0.40695,1.57353,1.09108,1.22715,0.000315059,0.000315059,0.000315059
35,1437.33,1.11111,0.82888,1.00485,0.63621,0.62809,0.66326,0.40017,1.60203,1.11566,1.24241,0.000297061,0.000297061,0.000297061
36,1478.13,1.09832,0.80725,0.99799,0.66648,0.6303,0.68005,0.40365,1.59774,1.11684,1.2457,0.000279063,0.000279063,0.000279063
37,1518.98,1.09765,0.80433,0.99533,0.63426,0.63784,0.66164,0.39496,1.62152,1.1276,1.23589,0.000261065,0.000261065,0.000261065
38,1559.84,1.07714,0.78319,0.9861,0.65308,0.66587,0.67677,0.4047,1.59093,1.13332,1.22343,0.000243067,0.000243067,0.000243067
39,1600.7,1.07155,0.7861,0.98646,0.61681,0.63753,0.66049,0.39625,1.57277,1.10583,1.22361,0.000225068,0.000225068,0.000225068
40,1641.52,1.06112,0.77306,0.98353,0.62813,0.62439,0.66581,0.40359,1.56808,1.11324,1.22596,0.00020707,0.00020707,0.00020707
41,1682.37,1.04665,0.73744,0.97213,0.65575,0.64723,0.67157,0.40775,1.58617,1.12047,1.22397,0.000189072,0.000189072,0.000189072
42,1722.96,1.0317,0.72636,0.96966,0.61588,0.65086,0.66641,0.39638,1.56593,1.1191,1.23026,0.000171074,0.000171074,0.000171074
43,1763.57,1.01801,0.71575,0.96647,0.65462,0.63888,0.66449,0.40536,1.57503,1.11934,1.24078,0.000153076,0.000153076,0.000153076
44,1804.16,1.01028,0.70567,0.96364,0.62618,0.65619,0.65166,0.38817,1.61082,1.13443,1.24634,0.000135077,0.000135077,0.000135077
45,1844.87,1.0065,0.70189,0.95918,0.64859,0.65289,0.67192,0.40373,1.58557,1.10839,1.24462,0.000117079,0.000117079,0.000117079
46,1885.49,0.99318,0.68631,0.95362,0.63785,0.66176,0.66746,0.40386,1.58799,1.11033,1.24276,9.9081e-05,9.9081e-05,9.9081e-05
47,1926.14,0.98386,0.6838,0.95068,0.63897,0.65817,0.66699,0.40439,1.6195,1.117,1.24832,8.10828e-05,8.10828e-05,8.10828e-05
48,1966.79,0.97761,0.67502,0.94686,0.64034,0.65365,0.66637,0.40694,1.57764,1.11601,1.23551,6.30846e-05,6.30846e-05,6.30846e-05
