epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5609,1.64966,2.07412,1.2868,0.4615,0.41569,0.43349,0.23263,1.81833,1.62776,1.34295,0.000302114,0.000302114,0.000302114
2,87.5682,1.55434,1.55782,1.22778,0.47811,0.50766,0.49616,0.26946,1.78899,1.47318,1.35745,0.000593133,0.000593133,0.000593133
3,130.052,1.55735,1.48432,1.23869,0.46087,0.54396,0.507,0.29318,1.70939,1.48678,1.34366,0.000872153,0.000872153,0.000872153
4,172.451,1.4929,1.39712,1.20103,0.48834,0.57488,0.53264,0.31177,1.69527,1.37559,1.33246,0.000855005,0.000855005,0.000855005
5,214.845,1.47984,1.34482,1.19004,0.4435,0.57228,0.50863,0.29409,1.76401,1.45959,1.33976,0.000837007,0.000837007,0.000837007
6,257.435,1.46429,1.32498,1.18433,0.50737,0.55939,0.55287,0.31968,1.75357,1.40188,1.36607,0.000819009,0.000819009,0.000819009
7,299.869,1.43627,1.27691,1.17241,0.61563,0.57888,0.57855,0.34163,1.70253,1.28342,1.33129,0.000801011,0.000801011,0.000801011
8,342.351,1.42357,1.24798,1.16016,0.54795,0.61488,0.61525,0.3415,1.76386,1.28875,1.33593,0.000783013,0.000783013,0.000783013
9,385.097,1.41501,1.21309,1.16227,0.58485,0.61421,0.5938,0.33943,1.7394,1.28404,1.3374,0.000765014,0.000765014,0.000765014
10,427.696,1.38895,1.18393,1.14211,0.56567,0.60991,0.61064,0.35744,1.65849,1.23405,1.32317,0.000747016,0.000747016,0.000747016
11,470.591,1.36318,1.14244,1.13286,0.64671,0.60929,0.61859,0.36309,1.6817,1.18959,1.31784,0.000729018,0.000729018,0.000729018
12,513.293,1.36992,1.13819,1.12976,0.58171,0.63452,0.62039,0.38214,1.65592,1.20481,1.28816,0.00071102,0.00071102,0.00071102
13,555.82,1.34887,1.1236,1.1218,0.62413,0.65596,0.65959,0.39082,1.68507,1.16461,1.29734,0.000693022,0.000693022,0.000693022
14,598.379,1.34333,1.11038,1.12383,0.7265,0.60242,0.65976,0.38895,1.69218,1.12095,1.29331,0.000675023,0.000675023,0.000675023
15,641.158,1.30871,1.06002,1.10404,0.66613,0.60671,0.64711,0.39664,1.61176,1.11057,1.27355,0.000657025,0.000657025,0.000657025
16,684.002,1.3134,1.06162,1.09781,0.64216,0.63396,0.64102,0.39326,1.63232,1.16256,1.28002,0.000639027,0.000639027,0.000639027
17,726.651,1.3121,1.05225,1.0993,0.62389,0.6729,0.66432,0.39924,1.61364,1.17935,1.26648,0.000621029,0.000621029,0.000621029
18,769.32,1.29347,1.02771,1.09508,0.66443,0.63881,0.67,0.4141,1.57755,1.1147,1.27563,0.000603031,0.000603031,0.000603031
19,811.925,1.2905,1.01431,1.09632,0.70031,0.6016,0.65681,0.4026,1.6804,1.15602,1.31753,0.000585032,0.000585032,0.000585032
20,854.927,1.27897,1.0201,1.08535,0.64569,0.60068,0.64255,0.39454,1.62203,1.14557,1.27875,0.000567034,0.000567034,0.000567034
21,897.743,1.25559,0.99345,1.07271,0.57566,0.68029,0.67741,0.41095,1.61175,1.17031,1.28435,0.000549036,0.000549036,0.000549036
22,940.715,1.26418,0.99409,1.08043,0.65242,0.66166,0.68001,0.40788,1.61382,1.11495,1.28107,0.000531038,0.000531038,0.000531038
23,984.077,1.24627,0.96245,1.07434,0.65813,0.62829,0.67005,0.40978,1.67334,1.12529,1.30432,0.00051304,0.00051304,0.00051304
24,1027.43,1.23573,0.96838,1.06776,0.64036,0.65866,0.67851,0.40814,1.62271,1.10865,1.2924,0.000495041,0.000495041,0.000495041
25,1070.59,1.22104,0.94724,1.06142,0.68178,0.62598,0.66717,0.40764,1.64878,1.11173,1.29307,0.000477043,0.000477043,0.000477043
26,1113.79,1.21236,0.92841,1.05359,0.6762,0.61491,0.65763,0.40952,1.61181,1.12334,1.28506,0.000459045,0.000459045,0.000459045
27,1156.92,1.20579,0.92031,1.05233,0.65929,0.67146,0.69028,0.42565,1.60784,1.07437,1.28173,0.000441047,0.000441047,0.000441047
28,1200.19,1.20846,0.91029,1.05,0.63274,0.66915,0.68777,0.42094,1.58916,1.07967,1.2785,0.000423049,0.000423049,0.000423049
29,1243.15,1.19359,0.90808,1.04874,0.64519,0.66764,0.69275,0.42719,1.62322,1.07272,1.29123,0.00040505,0.00040505,0.00040505
30,1286.09,1.19293,0.89447,1.04475,0.62851,0.65659,0.6752,0.40421,1.63444,1.12473,1.30709,0.000387052,0.000387052,0.000387052
31,1328.61,1.19148,0.89222,1.04711,0.67945,0.63771,0.66929,0.40193,1.62454,1.10522,1.30435,0.000369054,0.000369054,0.000369054
32,1371.52,1.18574,0.88035,1.0444,0.67615,0.62209,0.67039,0.39981,1.69785,1.11785,1.32427,0.000351056,0.000351056,0.000351056
33,1414.54,1.15961,0.86284,1.0302,0.65941,0.6602,0.68723,0.40966,1.68283,1.12186,1.32654,0.000333058,0.000333058,0.000333058
34,1457.27,1.16334,0.86829,1.03215,0.67248,0.66197,0.67747,0.40464,1.64572,1.07763,1.30576,0.000315059,0.000315059,0.000315059
35,1499.82,1.12915,0.84969,1.02527,0.67672,0.64278,0.67241,0.41753,1.61912,1.10244,1.27752,0.000297061,0.000297061,0.000297061
36,1542.6,1.13129,0.84603,1.02423,0.73209,0.63637,0.68656,0.42261,1.58941,1.06223,1.27677,0.000279063,0.000279063,0.000279063
37,1585.33,1.13065,0.82844,1.01701,0.66532,0.67301,0.69213,0.42653,1.63103,1.03499,1.29528,0.000261065,0.000261065,0.000261065
38,1628.22,1.11697,0.81416,1.01174,0.69491,0.675,0.69865,0.4262,1.5876,1.06014,1.28047,0.000243067,0.000243067,0.000243067
39,1670.86,1.11818,0.82083,1.01614,0.6645,0.67007,0.69306,0.43051,1.60226,1.07554,1.28606,0.000225068,0.000225068,0.000225068
40,1713.63,1.10206,0.80521,1.01094,0.69014,0.6735,0.69665,0.42705,1.6192,1.06904,1.28495,0.00020707,0.00020707,0.00020707
41,1756.23,1.08699,0.76694,0.99988,0.66841,0.65093,0.67331,0.4188,1.61062,1.08095,1.29647,0.000189072,0.000189072,0.000189072
42,1798.68,1.07189,0.75551,0.99985,0.69806,0.662,0.68185,0.42416,1.61296,1.06932,1.29436,0.000171074,0.000171074,0.000171074
43,1841.07,1.05757,0.74308,0.99625,0.6776,0.66263,0.66761,0.41719,1.60767,1.10466,1.28796,0.000153076,0.000153076,0.000153076
44,1883.48,1.04651,0.73293,0.99111,0.68565,0.65283,0.67189,0.4172,1.59531,1.09444,1.28196,0.000135077,0.000135077,0.000135077
45,1925.93,1.03915,0.72228,0.98516,0.681,0.67463,0.68124,0.41497,1.62514,1.07436,1.2921,0.000117079,0.000117079,0.000117079
46,1968.43,1.02335,0.71305,0.97915,0.67814,0.67158,0.6754,0.41464,1.61715,1.10456,1.29061,9.9081e-05,9.9081e-05,9.9081e-05
47,2011,1.01898,0.70213,0.97613,0.68409,0.66485,0.68203,0.41707,1.60746,1.08188,1.28632,8.10828e-05,8.10828e-05,8.10828e-05
48,2053.39,1.01548,0.70006,0.97286,0.69548,0.63987,0.66968,0.40697,1.63203,1.10045,1.29824,6.30846e-05,6.30846e-05,6.30846e-05
