epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.54863,0.97134,1.9157,1.05141,0.66195,0.58954,0.60918,0.40306,1.03873,1.39865,1.15514,0.0003333,0.0003333,0.0003333
2,8.60025,0.92225,1.22646,1.0139,0.57874,0.67659,0.57985,0.41316,1.01902,1.19695,1.10191,0.000664291,0.000664291,0.000664291
3,12.6884,0.92379,1.31531,0.99194,0.53513,0.65952,0.56716,0.42599,1.07377,1.16048,1.17748,0.000981644,0.000981644,0.000981644
4,16.7715,0.96759,0.96458,1.01371,0.54021,0.58258,0.55232,0.40573,1.07167,1.16283,1.15969,0.00104501,0.00104501,0.00104501
5,20.8295,0.94142,0.89316,0.99482,0.39999,0.65076,0.49995,0.36441,1.0618,1.18972,1.14158,0.00102301,0.00102301,0.00102301
6,24.858,0.93987,0.88054,1.00778,0.4597,0.59426,0.55151,0.39135,1.05445,1.18957,1.13298,0.00100101,0.00100101,0.00100101
7,28.9293,0.93038,0.79833,0.99456,0.49802,0.61405,0.57003,0.42157,1.0331,1.11694,1.10957,0.000979013,0.000979013,0.000979013
8,32.9788,0.89927,0.79855,0.99698,0.559,0.57078,0.56708,0.40418,1.05588,1.18687,1.14294,0.000957015,0.000957015,0.000957015
9,37.0568,0.88928,0.7796,0.9837,0.53816,0.69102,0.57943,0.42026,1.03314,1.17989,1.12227,0.000935018,0.000935018,0.000935018
10,41.1055,0.89244,0.76262,0.98497,0.59371,0.60855,0.60666,0.43293,1.063,1.09542,1.14833,0.00091302,0.00091302,0.00091302
11,45.1905,0.88418,0.76024,0.99477,0.63492,0.63128,0.63313,0.44009,1.04887,1.03971,1.13473,0.000891022,0.000891022,0.000891022
12,49.2822,0.85212,0.72547,0.96376,0.62971,0.60978,0.61631,0.41377,1.05488,1.10962,1.1463,0.000869024,0.000869024,0.000869024
13,53.3496,0.84086,0.71711,0.95148,0.52322,0.72524,0.60856,0.41687,1.07297,1.15918,1.13853,0.000847026,0.000847026,0.000847026
14,57.3996,0.82964,0.69085,0.96579,0.70322,0.63005,0.62723,0.42332,1.11057,1.18924,1.16601,0.000825029,0.000825029,0.000825029
15,61.4511,0.81113,0.65438,0.96016,0.68232,0.64848,0.62202,0.44992,1.05141,1.05508,1.14628,0.000803031,0.000803031,0.000803031
16,65.5506,0.82898,0.70813,0.98287,0.57207,0.59284,0.62139,0.44895,1.05034,1.17149,1.13111,0.000781033,0.000781033,0.000781033
17,69.6101,0.80058,0.69101,0.9503,0.63414,0.67576,0.6231,0.42101,1.04741,1.0817,1.15222,0.000759035,0.000759035,0.000759035
18,73.6762,0.79836,0.6675,0.95044,0.61817,0.73007,0.65436,0.45296,1.03371,1.05972,1.13322,0.000737037,0.000737037,0.000737037
19,77.771,0.80112,0.6199,0.94367,0.58568,0.67706,0.57976,0.40318,1.06014,1.11146,1.16109,0.00071504,0.00071504,0.00071504
20,81.8184,0.7771,0.60001,0.95337,0.62572,0.51843,0.54965,0.40222,1.06938,1.12278,1.14525,0.000693042,0.000693042,0.000693042
21,85.883,0.7603,0.5782,0.93022,0.59688,0.69004,0.61089,0.4355,1.0771,1.20021,1.14994,0.000671044,0.000671044,0.000671044
22,89.9211,0.76384,0.60897,0.92744,0.61548,0.64495,0.60962,0.44514,1.08424,1.15133,1.15827,0.000649046,0.000649046,0.000649046
23,93.9522,0.73936,0.56556,0.93446,0.65884,0.63862,0.65135,0.4637,1.04696,1.17502,1.15525,0.000627048,0.000627048,0.000627048
24,98.0427,0.73842,0.55044,0.92907,0.5822,0.73309,0.65213,0.45637,1.07674,1.16038,1.14747,0.000605051,0.000605051,0.000605051
25,102.069,0.75606,0.58453,0.94251,0.57759,0.75681,0.67876,0.48781,1.08307,1.14221,1.13379,0.000583053,0.000583053,0.000583053
26,106.155,0.76704,0.59348,0.95064,0.78877,0.71292,0.72126,0.48796,1.08585,1.05686,1.16454,0.000561055,0.000561055,0.000561055
27,110.229,0.75501,0.57886,0.93753,0.60202,0.76181,0.66907,0.45679,1.10626,1.11744,1.17489,0.000539057,0.000539057,0.000539057
28,114.253,0.72665,0.55183,0.92545,0.61756,0.70628,0.67412,0.46238,1.06524,1.11448,1.155,0.000517059,0.000517059,0.000517059
