epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8187,1.63749,2.1064,1.29157,0.52583,0.41975,0.41133,0.22283,1.68772,1.6145,1.30439,0.000302185,0.000302185,0.000302185
2,94.1257,1.5614,1.5806,1.23638,0.41311,0.54217,0.48217,0.27352,1.67107,1.60058,1.35875,0.000593203,0.000593203,0.000593203
3,140.274,1.53621,1.50134,1.23104,0.46208,0.51365,0.48963,0.26842,1.81496,1.50387,1.42609,0.000872221,0.000872221,0.000872221
4,186.396,1.50731,1.42879,1.21275,0.39511,0.50273,0.46677,0.26453,1.68105,1.38409,1.33002,0.000855005,0.000855005,0.000855005
5,232.366,1.47153,1.33979,1.1899,0.53261,0.51315,0.53811,0.30867,1.63887,1.35464,1.31707,0.000837007,0.000837007,0.000837007
6,278.321,1.45668,1.32855,1.18689,0.61444,0.58394,0.59169,0.34606,1.63271,1.23451,1.29958,0.000819009,0.000819009,0.000819009
7,324.307,1.43284,1.25031,1.16615,0.56443,0.60748,0.58993,0.35409,1.59929,1.21036,1.29243,0.000801011,0.000801011,0.000801011
8,370.335,1.40751,1.22304,1.15186,0.6286,0.56933,0.60489,0.36192,1.62807,1.21525,1.2834,0.000783013,0.000783013,0.000783013
9,416.402,1.39143,1.20323,1.15782,0.59763,0.5578,0.61093,0.3624,1.61761,1.1933,1.29755,0.000765014,0.000765014,0.000765014
10,462.655,1.3768,1.1833,1.1381,0.60418,0.62548,0.63229,0.37801,1.58161,1.16554,1.27087,0.000747016,0.000747016,0.000747016
11,508.701,1.36105,1.16816,1.13421,0.59536,0.62243,0.62837,0.37968,1.59145,1.18083,1.28821,0.000729018,0.000729018,0.000729018
12,554.78,1.35145,1.12874,1.1254,0.58835,0.64974,0.63231,0.3805,1.51983,1.17311,1.24502,0.00071102,0.00071102,0.00071102
13,600.882,1.33966,1.11596,1.12234,0.67674,0.58163,0.64309,0.38658,1.5703,1.1412,1.2584,0.000693022,0.000693022,0.000693022
14,646.976,1.33074,1.10794,1.12141,0.63737,0.63299,0.65019,0.39786,1.5679,1.14707,1.2632,0.000675023,0.000675023,0.000675023
15,693.118,1.32187,1.07735,1.11145,0.61518,0.61577,0.63898,0.40071,1.503,1.10986,1.25398,0.000657025,0.000657025,0.000657025
16,739.284,1.31196,1.08933,1.11089,0.59342,0.63381,0.64749,0.3774,1.57002,1.16645,1.26028,0.000639027,0.000639027,0.000639027
17,785.475,1.29001,1.04987,1.09731,0.64007,0.60303,0.6469,0.39201,1.56296,1.1152,1.27165,0.000621029,0.000621029,0.000621029
18,831.546,1.26989,1.02601,1.08602,0.62925,0.65204,0.67005,0.40888,1.55778,1.10616,1.26377,0.000603031,0.000603031,0.000603031
19,877.638,1.28154,1.02165,1.08787,0.64104,0.63491,0.65277,0.40654,1.52742,1.07257,1.24488,0.000585032,0.000585032,0.000585032
20,923.746,1.2724,1.01826,1.08454,0.66476,0.61802,0.65674,0.41004,1.50117,1.0944,1.23538,0.000567034,0.000567034,0.000567034
