epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0663,1.07974,0.78716,0.99401,0.6697,0.67583,0.68291,0.41121,1.64214,1.12338,1.29945,0.000302114,0.000302114,0.000302114
2,86.8492,1.1543,0.8769,1.03068,0.66195,0.61915,0.68291,0.4089,1.70778,1.11853,1.3162,0.000593133,0.000593133,0.000593133
3,129.264,1.20005,0.91656,1.04632,0.682,0.63238,0.66383,0.39179,1.67695,1.12406,1.31497,0.000872153,0.000872153,0.000872153
4,171.656,1.20663,0.93602,1.0568,0.62338,0.64886,0.63459,0.37454,1.61809,1.13932,1.27226,0.000855005,0.000855005,0.000855005
5,214.09,1.21132,0.92862,1.05191,0.63999,0.61796,0.63065,0.37586,1.6939,1.14543,1.31821,0.000837007,0.000837007,0.000837007
6,256.506,1.20481,0.93465,1.05064,0.69635,0.60789,0.66711,0.39531,1.67788,1.11373,1.34199,0.000819009,0.000819009,0.000819009
7,298.929,1.20755,0.92428,1.05389,0.68306,0.60092,0.64857,0.39777,1.66455,1.11744,1.28529,0.000801011,0.000801011,0.000801011
8,341.561,1.20097,0.91733,1.05281,0.64193,0.65245,0.66648,0.39261,1.70306,1.15299,1.31468,0.000783013,0.000783013,0.000783013
9,384.018,1.2029,0.90982,1.0535,0.63122,0.67712,0.65767,0.38485,1.7185,1.16725,1.35344,0.000765014,0.000765014,0.000765014
10,426.493,1.18634,0.90765,1.04413,0.64759,0.64101,0.65802,0.39659,1.62117,1.10246,1.28424,0.000747016,0.000747016,0.000747016
11,468.863,1.17045,0.8863,1.03846,0.63139,0.64777,0.64493,0.38448,1.6621,1.12334,1.30325,0.000729018,0.000729018,0.000729018
12,511.316,1.17548,0.8961,1.03858,0.65326,0.67861,0.67024,0.41467,1.6089,1.11224,1.28384,0.00071102,0.00071102,0.00071102
13,553.993,1.14834,0.87169,1.02765,0.70012,0.64836,0.67264,0.39959,1.65806,1.11419,1.28261,0.000693022,0.000693022,0.000693022
14,596.344,1.15819,0.87289,1.03764,0.7532,0.62702,0.68435,0.40666,1.67193,1.08636,1.30428,0.000675023,0.000675023,0.000675023
15,638.684,1.14233,0.84224,1.02656,0.68456,0.63741,0.65938,0.41137,1.6218,1.08905,1.28804,0.000657025,0.000657025,0.000657025
16,680.931,1.14299,0.84784,1.02176,0.66839,0.65524,0.69159,0.41578,1.6387,1.09414,1.27966,0.000639027,0.000639027,0.000639027
17,723.242,1.14113,0.85132,1.0206,0.64132,0.65419,0.67032,0.40553,1.58966,1.12221,1.27431,0.000621029,0.000621029,0.000621029
18,765.442,1.12555,0.82806,1.01969,0.64633,0.68087,0.67806,0.4187,1.59821,1.1059,1.27476,0.000603031,0.000603031,0.000603031
19,807.676,1.12672,0.82238,1.02064,0.68572,0.60689,0.65248,0.39661,1.69641,1.11666,1.32118,0.000585032,0.000585032,0.000585032
20,850.089,1.11921,0.83071,1.01359,0.64792,0.63577,0.65598,0.39917,1.61295,1.11026,1.28347,0.000567034,0.000567034,0.000567034
21,892.355,1.09748,0.80727,1.0045,0.61944,0.6719,0.67468,0.40768,1.6545,1.15,1.29179,0.000549036,0.000549036,0.000549036
22,934.647,1.10406,0.8151,1.01202,0.65037,0.65646,0.66863,0.40327,1.6016,1.12536,1.27354,0.000531038,0.000531038,0.000531038
23,977.175,1.09136,0.78933,1.00714,0.66495,0.65375,0.66164,0.40323,1.67568,1.11372,1.31189,0.00051304,0.00051304,0.00051304
24,1019.55,1.08962,0.79404,1.00128,0.67359,0.65389,0.67925,0.40703,1.64959,1.10082,1.29481,0.000495041,0.000495041,0.000495041
25,1061.9,1.07342,0.78293,0.99645,0.71528,0.61567,0.66086,0.40515,1.6604,1.13979,1.2991,0.000477043,0.000477043,0.000477043
26,1104.27,1.06395,0.77275,0.99173,0.67695,0.63948,0.66325,0.41247,1.60885,1.12997,1.28884,0.000459045,0.000459045,0.000459045
27,1146.63,1.058,0.76758,0.99131,0.66847,0.66152,0.66643,0.40066,1.61642,1.12542,1.28274,0.000441047,0.000441047,0.000441047
28,1189.16,1.06521,0.76067,0.99004,0.63871,0.64422,0.6612,0.4014,1.62329,1.12742,1.28746,0.000423049,0.000423049,0.000423049
29,1231.6,1.05772,0.76012,0.99184,0.67427,0.65662,0.67941,0.41402,1.64481,1.11149,1.30343,0.00040505,0.00040505,0.00040505
30,1274.06,1.04418,0.75049,0.98416,0.64486,0.64407,0.66605,0.39626,1.63901,1.1435,1.30939,0.000387052,0.000387052,0.000387052
31,1316.45,1.04852,0.74476,0.98913,0.6873,0.63707,0.67731,0.4099,1.62266,1.09329,1.29731,0.000369054,0.000369054,0.000369054
32,1358.9,1.0477,0.74207,0.98889,0.65066,0.65751,0.65902,0.39767,1.6626,1.11226,1.31105,0.000351056,0.000351056,0.000351056
33,1401.3,1.0242,0.72508,0.97754,0.6929,0.63411,0.66374,0.40494,1.65591,1.12568,1.31254,0.000333058,0.000333058,0.000333058
34,1443.82,1.02649,0.72901,0.97962,0.67953,0.63608,0.66426,0.40847,1.64042,1.11348,1.31591,0.000315059,0.000315059,0.000315059
35,1486.24,1.00101,0.72255,0.97538,0.65066,0.66509,0.67506,0.41745,1.61863,1.11262,1.28679,0.000297061,0.000297061,0.000297061
36,1528.62,1.00255,0.71212,0.97348,0.69429,0.65457,0.67064,0.41736,1.59694,1.08226,1.28178,0.000279063,0.000279063,0.000279063
37,1571.09,0.99923,0.70726,0.96814,0.69869,0.63201,0.66794,0.40739,1.64757,1.09919,1.31084,0.000261065,0.000261065,0.000261065
38,1613.38,0.98855,0.69486,0.96343,0.7002,0.63371,0.66912,0.41046,1.62007,1.12162,1.30412,0.000243067,0.000243067,0.000243067
39,1655.67,0.99521,0.70308,0.96893,0.65786,0.6388,0.6639,0.41151,1.62318,1.13038,1.30709,0.000225068,0.000225068,0.000225068
40,1698.08,0.98031,0.68694,0.9644,0.66896,0.65498,0.66323,0.41233,1.62897,1.11848,1.30076,0.00020707,0.00020707,0.00020707
41,1740.26,0.96106,0.65972,0.95186,0.67265,0.64764,0.66732,0.40761,1.63446,1.1358,1.30186,0.000189072,0.000189072,0.000189072
42,1782.25,0.94611,0.64362,0.95191,0.72967,0.6299,0.66782,0.40795,1.62691,1.13314,1.3014,0.000171074,0.000171074,0.000171074
43,1824.21,0.93638,0.63676,0.94996,0.66947,0.6386,0.65279,0.4021,1.63517,1.17273,1.30316,0.000153076,0.000153076,0.000153076
44,1866.13,0.92807,0.62891,0.9471,0.68006,0.65588,0.66497,0.41103,1.62587,1.15146,1.30348,0.000135077,0.000135077,0.000135077
45,1908.15,0.91938,0.62432,0.94107,0.69543,0.64865,0.66319,0.40543,1.64845,1.15328,1.31271,0.000117079,0.000117079,0.000117079
46,1950.07,0.90795,0.61803,0.93691,0.68312,0.65469,0.67021,0.41278,1.62846,1.14502,1.29696,9.9081e-05,9.9081e-05,9.9081e-05
47,1992.19,0.91033,0.61138,0.93633,0.67646,0.64487,0.66302,0.4064,1.6357,1.14545,1.30481,8.10828e-05,8.10828e-05,8.10828e-05
48,2034.16,0.90208,0.60689,0.93333,0.69047,0.64559,0.66614,0.40564,1.64329,1.15687,1.31332,6.30846e-05,6.30846e-05,6.30846e-05
49,2076.14,0.896,0.60396,0.93301,0.67333,0.64795,0.66399,0.4076,1.65149,1.16548,1.31878,4.50864e-05,4.50864e-05,4.50864e-05
50,2118.44,0.88942,0.59856,0.93166,0.67691,0.65325,0.66774,0.40826,1.62751,1.15131,1.30829,2.70882e-05,2.70882e-05,2.70882e-05
