epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7211,1.22322,1.11502,1.10266,0.17735,0.30996,0.19008,0.09158,2.14175,2.17677,1.6883,0.0670724,0.000332602,0.000332602
2,117.939,0.9994,0.81107,1.01456,0.30333,0.36267,0.24757,0.12326,2.00938,2.03621,1.54695,0.0340658,0.000659343,0.000659343
3,175.461,0.91671,0.73236,0.98647,0.32782,0.40948,0.30998,0.15673,1.93033,1.78966,1.49417,0.00105258,0.000979483,0.000979483
4,232.808,0.85329,0.67749,0.96117,0.41126,0.35299,0.33517,0.16994,1.95422,1.77639,1.52962,0.0009703,0.0009703,0.0009703
5,290.167,0.805,0.64277,0.94609,0.33278,0.41845,0.31994,0.15489,1.87663,1.79686,1.45345,0.0009604,0.0009604,0.0009604
6,347.591,0.76187,0.60953,0.9309,0.34481,0.47845,0.37932,0.19291,1.87815,1.73412,1.4447,0.0009505,0.0009505,0.0009505
7,405.14,0.72035,0.56987,0.91641,0.47221,0.42907,0.38844,0.1953,1.81912,1.68988,1.40304,0.0009406,0.0009406,0.0009406
8,462.83,0.69762,0.56314,0.91103,0.4334,0.40348,0.38929,0.19713,1.85105,1.57724,1.43298,0.0009307,0.0009307,0.0009307
9,520.685,0.67035,0.54028,0.90565,0.52274,0.36121,0.3977,0.20899,1.78656,1.63926,1.39231,0.0009208,0.0009208,0.0009208
10,578.477,0.64472,0.52701,0.89594,0.38493,0.47478,0.39625,0.20415,1.77563,1.55286,1.36958,0.0009109,0.0009109,0.0009109
11,636.374,0.63387,0.50823,0.89267,0.47328,0.39874,0.39485,0.21063,1.78603,1.59042,1.39738,0.000901,0.000901,0.000901
12,694.365,0.62376,0.50964,0.89114,0.51364,0.41829,0.43764,0.22803,1.7938,1.52224,1.39378,0.0008911,0.0008911,0.0008911
13,752.474,0.60717,0.49929,0.88626,0.40325,0.47573,0.4193,0.22186,1.77791,1.59153,1.34561,0.0008812,0.0008812,0.0008812
14,810.271,0.59106,0.48289,0.88154,0.46019,0.41091,0.4158,0.22799,1.73521,1.53709,1.33053,0.0008713,0.0008713,0.0008713
15,867.877,0.57308,0.4696,0.87547,0.49949,0.49846,0.47669,0.26163,1.74399,1.48911,1.35351,0.0008614,0.0008614,0.0008614
16,925.736,0.57298,0.46986,0.87529,0.50116,0.48385,0.44683,0.24616,1.72655,1.5004,1.37032,0.0008515,0.0008515,0.0008515
17,983.207,0.56455,0.46509,0.87349,0.49915,0.49124,0.46395,0.2447,1.71327,1.46963,1.34286,0.0008416,0.0008416,0.0008416
18,1040.82,0.55927,0.45798,0.87372,0.46826,0.48176,0.47285,0.26685,1.71612,1.46852,1.32522,0.0008317,0.0008317,0.0008317
19,1098.45,0.54521,0.44297,0.86876,0.51162,0.48854,0.48404,0.27451,1.71983,1.4427,1.33643,0.0008218,0.0008218,0.0008218
20,1156.15,0.53527,0.43542,0.86692,0.42926,0.50397,0.48398,0.26705,1.69532,1.44404,1.35391,0.0008119,0.0008119,0.0008119
21,1213.53,0.52191,0.4244,0.86196,0.53611,0.51123,0.50813,0.29433,1.68787,1.40574,1.31711,0.000802,0.000802,0.000802
22,1270.71,0.51629,0.41982,0.8614,0.48895,0.51547,0.48709,0.27576,1.69358,1.45438,1.34953,0.0007921,0.0007921,0.0007921
23,1327.79,0.51852,0.4182,0.86235,0.50253,0.48374,0.47467,0.26765,1.7013,1.42695,1.30845,0.0007822,0.0007822,0.0007822
24,1385.06,0.51076,0.41411,0.8611,0.64965,0.4229,0.49623,0.28542,1.68165,1.40498,1.33843,0.0007723,0.0007723,0.0007723
25,1442.3,0.51406,0.41735,0.86335,0.53071,0.49583,0.50492,0.29443,1.66512,1.47507,1.32352,0.0007624,0.0007624,0.0007624
26,1499.73,0.49693,0.40072,0.85732,0.66293,0.42285,0.51181,0.29148,1.70498,1.41056,1.34013,0.0007525,0.0007525,0.0007525
27,1556.8,0.49513,0.40174,0.85833,0.4724,0.52112,0.49172,0.28411,1.71212,1.40883,1.34659,0.0007426,0.0007426,0.0007426
28,1613.92,0.49069,0.39622,0.85705,0.57878,0.49125,0.52998,0.31224,1.71187,1.3714,1.34646,0.0007327,0.0007327,0.0007327
29,1671.14,0.48265,0.38942,0.85216,0.56853,0.52049,0.52831,0.30373,1.68176,1.36071,1.33362,0.0007228,0.0007228,0.0007228
30,1728.43,0.48583,0.39125,0.85539,0.61271,0.47919,0.52881,0.30513,1.67136,1.36142,1.32244,0.0007129,0.0007129,0.0007129
31,1785.66,0.47059,0.37911,0.8493,0.58013,0.53124,0.54866,0.31998,1.68348,1.35319,1.3347,0.000703,0.000703,0.000703
32,1842.87,0.47534,0.38565,0.85345,0.60028,0.49782,0.55345,0.32064,1.66794,1.3374,1.322,0.0006931,0.0006931,0.0006931
33,1899.98,0.47483,0.38483,0.85386,0.62751,0.46701,0.55107,0.32225,1.69176,1.34502,1.32946,0.0006832,0.0006832,0.0006832
34,1957.1,0.45887,0.3702,0.84749,0.55891,0.4948,0.52625,0.30845,1.71841,1.35828,1.35051,0.0006733,0.0006733,0.0006733
35,2014.29,0.46223,0.37272,0.85136,0.60514,0.51093,0.53908,0.32132,1.64746,1.32203,1.3064,0.0006634,0.0006634,0.0006634
36,2071.47,0.45822,0.36706,0.84959,0.6327,0.49489,0.53074,0.30358,1.66695,1.32176,1.31933,0.0006535,0.0006535,0.0006535
37,2128.98,0.45481,0.36583,0.85065,0.52877,0.51674,0.54509,0.317,1.69893,1.30414,1.33412,0.0006436,0.0006436,0.0006436
38,2186.32,0.45242,0.36255,0.84886,0.60382,0.51425,0.55256,0.32371,1.68082,1.32638,1.32811,0.0006337,0.0006337,0.0006337
39,2243.85,0.44601,0.36149,0.84599,0.61458,0.52117,0.5604,0.32949,1.67645,1.39681,1.3167,0.0006238,0.0006238,0.0006238
40,2301.12,0.43949,0.35453,0.84667,0.53346,0.5366,0.55152,0.32838,1.66925,1.33436,1.31127,0.0006139,0.0006139,0.0006139
41,2358.85,0.45002,0.36393,0.84922,0.53991,0.5604,0.56278,0.33267,1.65682,1.34981,1.30301,0.000604,0.000604,0.000604
42,2416.5,0.43316,0.35256,0.84397,0.60548,0.53189,0.55382,0.31987,1.65975,1.28051,1.30657,0.0005941,0.0005941,0.0005941
43,2473.93,0.4316,0.34915,0.84406,0.50978,0.55014,0.56745,0.34203,1.64625,1.30258,1.31466,0.0005842,0.0005842,0.0005842
44,2531.68,0.4258,0.34342,0.83994,0.60139,0.53521,0.5724,0.34192,1.663,1.28818,1.32356,0.0005743,0.0005743,0.0005743
45,2589.31,0.42813,0.34173,0.84155,0.59786,0.53706,0.55437,0.32578,1.65766,1.30289,1.30638,0.0005644,0.0005644,0.0005644
46,2647.09,0.42694,0.33952,0.84018,0.61722,0.54965,0.57724,0.34575,1.63874,1.27319,1.29668,0.0005545,0.0005545,0.0005545
47,2704.65,0.41304,0.3345,0.83958,0.59498,0.55308,0.56146,0.33566,1.64083,1.31761,1.30172,0.0005446,0.0005446,0.0005446
48,2762.41,0.42149,0.34155,0.84254,0.56437,0.5321,0.56082,0.33339,1.64443,1.2816,1.29176,0.0005347,0.0005347,0.0005347
49,2819.94,0.41251,0.33208,0.83902,0.57398,0.54353,0.55292,0.3334,1.64269,1.28895,1.31107,0.0005248,0.0005248,0.0005248
50,2877.57,0.41595,0.33738,0.83934,0.53065,0.55467,0.56812,0.34345,1.63723,1.29736,1.30074,0.0005149,0.0005149,0.0005149
51,2935.13,0.41577,0.33635,0.84122,0.56504,0.56169,0.55543,0.32771,1.64451,1.2745,1.3047,0.000505,0.000505,0.000505
52,2992.69,0.41293,0.33051,0.83942,0.58484,0.55423,0.57026,0.33616,1.62499,1.29016,1.30575,0.0004951,0.0004951,0.0004951
53,3050.34,0.40284,0.32449,0.83971,0.51761,0.56444,0.54905,0.32544,1.64299,1.30376,1.29882,0.0004852,0.0004852,0.0004852
54,3107.29,0.40352,0.32261,0.83537,0.5827,0.55553,0.56846,0.34645,1.62595,1.2844,1.29201,0.0004753,0.0004753,0.0004753
